Data extracted on 20/10/2023 10:23:32 from [ESTAT];;;;
Dataset: ;Greenhouse gas emissions by source sector (source: EEA) [env_air_gge$defaultview];;;
Last updated: ;28/04/2023 23:00;;;
;;;;
Time frequency;;Annual;;
Unit of measure;;Thousand tonnes;;
Source sectors for greenhouse gas emissions (Common reporting format, UNFCCC);;Total (excluding LULUCF and memo items, including international aviation);;
;;;;
TIME;2020;;2019;
AIRPOL (Labels);Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);
GEO (Labels);;;;
European Union - 27 countries (from 2020);3.359.710,7;;3.724.270,32;
Belgium;110.905,57;;121.677,88;
Bulgaria;48.459,83;;54.728,68;
Czechia;114.068,58;;125.394,77;
Denmark;43.838,1;;48.491,87;
Germany;744.730,64;;824.634,27;
Estonia;11.479,74;;14.749,79;
Ireland;60.243,09;;64.509,14;
Greece;76.798,1;;90.172,56;
Spain;278.715,4;;328.938,5;
France;400.638,57;;450.251,75;
Croatia;24.071,86;;25.409,79;
Italy;388.786,92;;434.763,98;
Cyprus;8.908,99;;10.001,48;
Latvia;10.675,92;;11.630,29;
Lithuania;20.367,28;;20.659,1;
Luxembourg;10.678,7;;12.552,27;
Hungary;63.276,37;;65.628,69;
Malta;2.307,52;;2.660,69;
Netherlands;171.468,98;;193.348,22;
Austria;74.962,9;;82.922,58;
Poland;373.276,97;;390.130,46;
Portugal;59.731,54;;68.661,86;
Romania;112.179,29;;116.224,47;
Slovenia;16.000,94;;17.282,66;
Slovakia;37.288,84;;40.188,02;
Finland;48.697,77;;55.372,6;
Sweden;47.152,27;;53.283,97;
Iceland;4.784,41;;5.687,55;
Norway;50.060,83;;52.987,5;
Switzerland;45.974,23;;52.325,44;
;;;;
Special value;;;;
:;not available;;;